bookID,isbn13,title,authors,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,Date
147,9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1,2007-01-01
151,9780143035008,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,16643,1851,2004-05-31
152,9780451528612,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,109420,5696,2002-11-05
153,9780140449174,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,2904,309,2003-01-30
154,9780822001836,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,1965-11-26
155,9781593080273,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,9564,726,2003-07-01
156,9780486437965,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752,474,72,2004-11-23
157,9781593081775,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,48,2004-08-26
159,9780778322276,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,2006-01-28
160,9780521313254,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,1987-11-26
162,9780140183955,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,1990-07-03
163,9780679767473,The Untouchable,John Banville,3.95,eng,367,2163,216,1998-06-30
164,9781568491981,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,31,1996-02-01
165,9780743270793,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,40,2005-09-27
166,9780932863058,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,10,0,1995-01-28
168,9780742508804,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,4,2000-12-20
171,9780205358625,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,0,2003-09-22
177,9781557344038,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,eng,48,17,0,1991-09-28
180,9780380720446,Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,1035,23,1994-10-01
181,9780821925324,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,eng,250,36,6,2002-05-01
182,9780439271691,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,2002-01-01
201,9780606105262,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,spa,205,6,1,1984-06-01
204,9780751506433,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,17,1994-06-01
205,9780060786717,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,237,2006-01-03
207,9780743499347,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,352,44,2005-11-01
208,9780765313409,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,633,2006-03-07
213,9781400032495,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,821,78,2004-08-10
214,9781400032488,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,731,72,2005-03-08
216,9781400032464,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,2897,178,2004-08-10
230,9780679732525,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,11,1990-10-03
231,9780312424442,I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,1688,2005-08-30
237,9780806930770,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,66,19,2001-10-01
244,9780140366600,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,6,1996-10-03
245,9780811201124,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,981,52,1964-02-01
247,9780802130167,Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,141,1994-01-13
249,9780802131782,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,53206,2376,1994-01-06
250,9780802151827,Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,459,1994-01-13
251,9780802151780,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,58,1994-01-13
252,9780802151803,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,251,1994-01-12
253,9780811201063,The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,142,1970-01-17
264,9780141439631,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,61640,1951,2003-09-30
269,9781593080969,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635,392,41,2004-01-16
277,9781571290533,Writing,Marguerite Duras,3.75,eng,91,778,44,1999-05-06
278,9781565842212,The War,Marguerite Duras/Barbara Bray,3.85,eng,192,963,65,1994-08-01
280,9780394743042,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,181,2057,128,1986-03-12
285,9781851681822,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178,203,8,1999-07-01
288,9781566562492,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464,35,2,1998-04-01
289,9780140195538,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,102,328,16,1998-01-01
290,9780394431246,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng,216,1308,82,1995-02-21
291,9780806501901,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng,132,6432,517,2003-03-03
292,9780679439202,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng,100,3015,217,2011-06-14
295,9780753453803,Treasure Island,Robert Louis Stevenson,3.83,eng,311,318753,6734,2001-09-15
296,9781402714573,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,en-US,213,420,42,2004-10-01
297,9781416500292,Treasure Island,Robert Louis Stevenson,3.83,eng,245,5967,276,2005-06-01
298,9780689854682,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng,64,104,14,2003-07-01
299,9780517221143,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,en-US,272,56,4,2002-09-03
302,9781577658054,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232,91,16,2006-01-31
313,9780933121188,100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,88,4,1996-11-22
324,9780785950103,Cien años de soledad,Gabriel García Márquez,4.07,spa,448,63,7,1990-01-01
330,9780394800844,On Beyond Zebra!,Dr. Seuss,4.04,eng,64,2815,164,1955-09-12
332,9780821778258,The Wedding Clause,Debbie Raleigh,3.6,eng,256,95,13,2005-06-07
333,9780060733032,The Zebra Wall,Kevin Henkes,3.44,eng,147,217,24,2005-02-15
337,9788432216060,El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,239,4136,255,2002-06-01
348,9780345413994,The Door Into Summer,Robert A. Heinlein,4.01,eng,304,17232,649,1997-06-17
350,9780441788385,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,251872,6241,1991-10-01
354,9780441748600,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,10293,193,1988-06-01
355,9780345316509,Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,15970,438,1985-10-12
356,9780765314932,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,6898,200,2006-08-08
357,9780671742515,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,67803,1401,1991-02-15
359,9780345455291,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,22091,746,2005-04-26
362,9780345476517,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,2623,49,2005-12-27
367,9780345368430,Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,885,84,1998-10-27
377,9781417622856,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng,336,5,0,2003-07-01
382,9780573650963,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72,100,13,2011-01-12
385,9780691122946,On Bullshit,Harry G. Frankfurt,3.57,eng,67,9358,995,2005-01-30
386,9780393329407,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,9318,907,2005-09-12
394,9780671867423,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,120,15,1993-06-12
397,9780395883976,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32,5239,76,1998-02-02
399,9780684848150,Underworld,Don DeLillo,3.92,eng,827,1505,175,1998-07-09
400,9780140156041,Libra,Don DeLillo,3.99,eng,480,11857,564,1991-05-01
403,9780140119480,Americana,Don DeLillo,3.43,eng,377,393,55,1989-07-06
404,9780679722946,Running Dog,Don DeLillo,3.43,eng,256,1356,72,1989-07-17
406,9780743244251,Cosmopolis,Don DeLillo,3.22,eng,224,460,41,2004-04-06
407,9780140179170,Great Jones Street,Don DeLillo,3.48,eng,272,2492,145,1994-01-01
408,9780679722953,The Names,Don DeLillo,3.64,eng,339,3100,212,1989-07-17
409,9781594201202,Against the Day,Thomas Pynchon,4.13,eng,1085,5296,587,2006-11-21
410,9780060930219,V.,Thomas Pynchon,3.96,eng,547,1415,177,2005-07-05
411,9780060931674,The Crying of Lot 49,Thomas Pynchon,3.69,eng,152,2161,230,1999-04-01
412,9780140283389,Gravity's Rainbow,Thomas Pynchon,4.01,eng,784,762,213,2000-01-01
413,9780312423209,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773,8086,602,2004-01-03
414,9780141180632,Vineland,Thomas Pynchon,3.69,en-US,385,702,69,1997-09-01
415,9780143039945,Gravity's Rainbow,Thomas Pynchon,4.01,eng,776,29764,2164,2006-10-31
416,9780316724432,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,193,334,34,1985-04-30
418,9780140189308,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,eng,352,2473,220,1996-08-29
420,9781400043149,The Year of Magical Thinking,Joan Didion,3.89,en-US,227,2656,336,2005-10-04
421,9780374522216,The White Album,Joan Didion,4.17,eng,222,11889,738,1990-10-01
422,9780679754862,A Book of Common Prayer,Joan Didion,3.8,eng,272,2962,255,1995-04-11
423,9780679752868,Where I Was From,Joan Didion,3.86,eng,240,2842,292,2004-09-14
424,9780374521721,Slouching Towards Bethlehem,Joan Didion,4.21,eng,238,26934,1825,1990-10-01
425,9780679754855,Democracy,Joan Didion,3.81,en-US,234,2070,169,1995-04-25
426,9780307264879,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,eng,1122,1564,108,2006-10-17
428,9780374529949,Play It As It Lays,Joan Didion/David Thomson,3.87,eng,231,23656,1706,2005-11-15
431,9780143039839,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308,43200,1873,2006-03-28
432,9780140097313,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203,12410,734,1987-04-07
434,9780140097351,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96,3672,195,1987-07-07
435,9780940650763,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179,2998,164,1986-11-01
444,9780963188922,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256,74,2,1995-01-01
446,9780312426231,The Brooklyn Follies,Paul Auster,3.84,eng,306,17977,1157,2006-10-17
447,9780140115857,Moon Palace,Paul Auster,3.94,eng,320,16099,503,1990-04-01
453,9780140154078,The Music of Chance,Paul Auster,3.9,en-US,217,361,36,1991-12-01
454,9780805081459,Travels in the Scriptorium,Paul Auster,3.23,eng,145,6688,562,2007-01-23
456,9780140178135,Leviathan,Paul Auster,3.96,eng,275,11744,443,1993-09-01
463,9780811214988,The Red Notebook: True Stories,Paul Auster,3.77,eng,104,2390,120,2002-06-17
466,9782742741465,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075,21,1,2002-11-07
475,9780143036555,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,52522,2780,2005-12-27
476,9780446579780,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,en-US,211,213,26,2006-02-01
477,9780521386739,Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262,719,86,1990-03-29
478,9780743203043,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng,544,4762,512,2001-08-07
481,9780345438713,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272,62,4,2002-01-29
484,9780393318289,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng,576,278,20,1998-09-17
493,9781599869940,My Inventions,Nikola Tesla,4.01,eng,88,2862,262,2006-05-17
494,9780806519609,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng,542,2829,334,2001-02-01
497,9780822549208,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144,105,5,1994-10-01
498,9780932813862,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng,100,102,2,2000-12-01
511,9780373792689,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng,249,478,12,2006-06-27
515,9780974514055,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,en-US,828,1577,49,2004-10-11
523,9780764585975,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,eng,112,73,8,2000-06-13
524,9780307281708,Lord of the Flies,William Golding,3.68,eng,6,408,96,2005-10-11
531,9780812969702,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng,397,1693,100,2006-09-12
534,9780060255084,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,eng,216,1,0,1989-01-01
537,9780330485388,The Lovely Bones,Alice Sebold,3.81,en-GB,328,6485,966,2003-06-01
538,9781594130236,The Lovely Bones,Alice Sebold,3.81,en-US,532,367,73,2004-04-01
539,9780345360359,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng,224,1371,43,1990-05-13
565,785342303476,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,en-US,296,793,28,2005-02-17
570,9780321430847,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,en-US,456,549,42,2006-08-01
576,9783822840856,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,mul,575,288,31,2005-05-15
597,9780743264464,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng,245,26381,1109,2006-06-13
599,9780743236010,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng,272,62089,3324,2004-07-02
619,9780553572490,Vice (V  #8),Jane Feather,3.51,eng,419,474,19,1996-05-02
629,9780060589462,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng,540,166046,6446,2006-04-25
639,9780802789471,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng,32,1773,274,2005-04-01
642,9780688060695,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,en-GB,408,286,10,1990-11-19
643,9781859605158,Motorcycle Basics Techbook,John Harold Haynes,3.85,eng,222,40,2,2002-07-05
